designation,abs_mag,slope_param,epoch,mean_anomaly,arg_perihelion,long_asc_node,inclination,eccentricity,mean_motion,semi_major_axis,uncertainty,reference,num_observations,num_oppositions,first_obs,separator,last_obs,rms_residual,coarse_perturbers,precise_perturbers,computer,hex_flags,designation_full,last_obs_date,orbit_type,is_neo
00001,3.35,0.15,K25BL,231.53975,73.29974,80.24963,10.58789,0.0795763,0.21429712,2.7656157,0,MPO950947,7369.0,126,1801,-,2025,0.69,M-v,30k,MPCORBFIT,4000,(1) Ceres,2025-10-03,Type 0,False
00002,4.11,0.15,K25BL,211.52977,310.9334,172.88859,34.92833,0.230643,0.21379713,2.7699258,0,E2025-V46,9021.0,124,1804,-,2025,0.64,M-c,28k,MPCORBFIT,4000,(2) Pallas,2025-11-05,Type 0,False
00003,5.19,0.15,K25BL,217.59095,247.88367,169.81989,12.98604,0.2558258,0.22579938,2.6708791,0,MPO937415,7565.0,118,1804,-,2025,0.67,M-v,3Ek,MPCORBFIT,4000,(3) Juno,2025-08-08,Type 0,False
00004,3.25,0.15,K25BL,26.80968,151.53712,103.70232,7.14406,0.0901676,0.27158812,2.3615413,0,MPO925791,7543.0,112,1821,-,2025,0.69,M-p,18k,MPCLINUX,4000,(4) Vesta,2025-06-24,Type 0,False
00005,6.97,0.15,K25BL,133.8676,359.34517,141.44862,5.35925,0.1875086,0.23826852,2.5768646,0,MPO950947,3339.0,89,1845,-,2025,0.79,M-v,3Ek,MPCORBFIT,4000,(5) Astraea,2025-10-06,Type 0,False
00006,5.61,0.15,K25BL,352.56367,239.69622,138.61473,14.73615,0.2022301,0.26092182,2.4254693,0,MPO950947,6086.0,105,1848,-,2025,0.65,M-v,3Ek,MPCORBFIT,4007,(6) Hebe,2025-09-03,Phocaea,False
00007,5.68,0.15,K25BL,61.72502,145.48204,259.49459,5.51881,0.2302133,0.26733389,2.386529,0,E2025-UU7,5332.0,92,1848,-,2025,0.69,M-v,3Ek,MPCLINUX,0000,(7) Iris,2025-10-08,Type 0,False
00008,6.61,0.15,K25BL,198.90078,285.42673,110.84339,5.89033,0.1563337,0.30177489,2.2013072,0,MPO937415,2806.0,95,1847,-,2025,0.78,M-v,3Ek,MPCORBFIT,0000,(8) Flora,2025-08-03,Type 0,False
00009,6.33,0.15,K25BL,199.19648,5.89591,68.86978,5.57771,0.1225645,0.26732757,2.3865665,0,MPO950947,3040.0,87,1822,-,2025,0.77,M-v,3Ek,MPCORBFIT,0000,(9) Metis,2025-10-04,Type 0,False
00010,5.64,0.15,K25BL,216.69031,312.60583,283.12164,3.83294,0.1082238,0.17649669,3.1475914,0,MPO950947,4152.0,100,1849,-,2025,0.73,M-v,3Ek,MPCORBFIT,0000,(10) Hygiea,2025-09-19,Type 0,False
00011,6.73,0.15,K25BL,173.65693,196.42014,125.46698,4.63575,0.1004774,0.25651532,2.4531673,0,E2025-V38,9677.0,107,1850,-,2025,0.55,M-v,3Ek,MPCORBFIT,0000,(11) Parthenope,2025-11-04,Type 0,False
00012,7.29,0.15,K25BL,76.93597,69.54624,235.35286,8.37403,0.2199307,0.27643789,2.3338396,0,E2025-UR3,3552.0,84,1850,-,2025,0.77,M-v,3Ek,MPCORBFIT,0000,(12) Victoria,2025-10-28,Type 0,False
00013,6.91,0.15,K25BL,40.99101,79.06456,43.17717,16.52553,0.084682,0.23835258,2.5762588,0,MPO950947,3122.0,75,1850,-,2025,0.8,M-v,3Ek,MPCLINUX,0000,(13) Egeria,2025-05-18,Type 0,False
00014,6.54,0.15,K25BL,12.92605,98.26521,86.00981,9.12955,0.1626702,0.23674977,2.5878733,0,MPO950947,2974.0,85,1851,-,2025,0.83,M-v,3Ek,MPCLINUX,0000,(14) Irene,2025-05-26,Type 0,False
00015,5.42,0.15,K25BL,113.72578,98.5072,292.88123,11.76143,0.1877813,0.22948746,2.6421861,0,E2025-V50,4575.0,87,1851,-,2025,0.6,M-v,3Ek,MPCORBFIT,0000,(15) Eunomia,2025-11-07,Type 0,False
00016,6.2,0.15,K25BL,40.63883,229.75341,150.00988,3.09729,0.1343462,0.19719267,2.9233145,0,MPO950947,7635.0,95,1852,-,2025,0.53,M-v,3Ek,MPCLINUX,0000,(16) Psyche,2025-08-22,Type 0,False
00017,7.91,0.15,K25BL,192.66164,135.94951,125.50275,5.59392,0.1312584,0.25346304,2.4728226,0,E2025-V46,10545.0,98,1852,-,2025,0.53,M-v,3Ek,MPCORBFIT,0000,(17) Thetis,2025-11-06,Type 0,False
00018,6.35,0.15,K25BL,227.26386,228.05175,150.32895,10.13086,0.217962,0.28338181,2.295557,0,MPO937415,5773.0,86,1852,-,2025,0.69,M-v,3Ek,MPCORBFIT,0000,(18) Melpomene,2025-08-07,Type 0,False
00019,7.49,0.15,K25BL,96.49967,182.51542,211.00111,1.57331,0.1580362,0.25826685,2.4420634,0,E2025-V23,8737.0,98,1852,-,2025,0.56,M-v,3Ek,MPCORBFIT,0000,(19) Fortuna,2025-11-02,Type 0,False
00020,6.54,0.15,K25BL,29.99984,257.23342,205.95443,0.70925,0.1437636,0.26369933,2.4084078,0,E2025-V15,9385.0,95,1856,-,2025,0.46,M-v,3Ek,MPCORBFIT,0000,(20) Massalia,2025-11-01,Type 0,False
00021,7.49,0.15,K25BL,246.81008,249.93981,80.83714,3.06457,0.1647833,0.25954751,2.4340237,0,MPO925791,6108.0,81,1866,-,2025,0.62,M-v,3Ek,MPCLINUX,0000,(21) Lutetia,2025-07-08,Type 0,False
00022,6.79,0.15,K25BL,310.67004,358.23621,65.96712,13.70168,0.0988798,0.19860227,2.9094657,0,MPO950947,11712.0,88,1854,-,2025,0.44,M-v,3Ek,MPCORBFIT,0000,(22) Kalliope,2025-09-25,Type 0,False
00023,7.12,0.15,K25BL,170.19674,61.63368,66.48766,10.10821,0.2312418,0.23123238,2.6288771,0,E2025-V65,3915.0,71,1856,-,2025,0.7,M-v,3Ek,MPCORBFIT,0000,(23) Thalia,2025-11-09,Type 0,False
00024,7.22,0.15,K25BL,56.76453,109.10768,36.39207,0.7367,0.115343,0.17686211,3.1432542,0,MPO937415,5260.0,95,1853,-,2025,0.77,M-v,3Ek,MPCORBFIT,0000,(24) Themis,2025-08-12,Type 0,False
00025,7.87,0.15,K25BL,89.19817,90.2319,214.08841,21.60663,0.254034,0.26503732,2.4002954,0,E2025-V34,5850.0,75,1860,-,2025,0.64,M-v,3Ek,MPCORBFIT,0000,(25) Phocaea,2025-10-24,Type 0,False
00026,7.48,0.15,K25BL,289.59074,196.05663,45.68524,3.55452,0.0886309,0.22780973,2.6551427,0,E2025-V07,3662.0,87,1861,-,2025,0.8,M-v,3Ek,MPCORBFIT,0000,(26) Proserpina,2025-11-01,Type 0,False
00027,7.03,0.15,K25BL,272.94178,356.56876,94.76753,1.58332,0.1715637,0.27408572,2.347173,0,E2025-V46,3227.0,79,1853,-,2025,0.76,M-v,3Ek,MPCORBFIT,0000,(27) Euterpe,2025-11-06,Type 0,False
00028,7.23,0.15,K25BL,65.45935,343.46246,144.15087,9.42325,0.1489865,0.21294806,2.7772838,0,MPO925791,3620.0,105,1856,-,2025,0.79,M-v,3Ek,MPCLINUX,0000,(28) Bellona,2025-07-08,Type 0,False
00029,5.97,0.15,K25BL,145.10816,61.90576,356.25475,6.07744,0.0733503,0.24145814,2.5541211,0,MPO925791,2425.0,98,1855,-,2025,0.81,M-v,3Ek,MPCLINUX,0000,(29) Amphitrite,2025-07-08,Type 0,False
00030,7.57,0.15,K25BL,319.52134,87.19213,307.39646,2.0937,0.1267294,0.27088415,2.3656309,0,E2025-V34,4083.0,82,1860,-,2025,0.73,M-v,3Ek,MPCORBFIT,0000,(30) Urania,2025-10-22,Type 0,False
00031,6.81,0.15,K25BL,147.89313,61.97074,30.7959,26.31223,0.2159207,0.17533281,3.1615053,0,MPO950947,3351.0,66,1860,-,2025,0.76,M-v,3Ek,MPCLINUX,0000,(31) Euphrosyne,2025-09-22,Type 0,False
00032,7.75,0.15,K25BL,242.00563,337.85852,220.3566,5.52082,0.0813067,0.23675327,2.5878478,0,E2025-V34,7946.0,77,1864,-,2025,0.51,M-v,3Ek,MPCORBFIT,0000,(32) Pomona,2025-10-22,Type 0,False
00033,8.47,0.15,K25BL,107.06975,338.82786,8.21189,1.85203,0.3332669,0.20227388,2.8741505,0,E2025-V50,4986.0,76,1856,-,2025,0.76,M-v,3Ek,MPCORBFIT,0000,(33) Polyhymnia,2025-11-07,Type 0,False
00034,8.76,0.15,K25BL,305.20904,329.41379,184.29422,5.49588,0.106784,0.22365311,2.6879391,0,E2025-V65,10265.0,74,1864,-,2025,0.55,M-v,3Ek,MPCORBFIT,0000,(34) Circe,2025-11-07,Type 0,False
00035,8.68,0.15,K25BL,309.11721,215.43996,352.90955,7.86607,0.2172633,0.1891411,3.0056987,0,E2025-V50,6689.0,72,1860,-,2025,0.69,M-v,3Ek,MPCORBFIT,0000,(35) Leukothea,2025-11-07,Type 0,False
00036,8.57,0.15,K25BL,99.55969,47.76897,358.163,18.37428,0.3063057,0.21675593,2.7446611,0,MPO950947,3808.0,58,1866,-,2025,0.74,M-v,3Ek,MPCLINUX,0000,(36) Atalante,2025-06-09,Type 0,False
00037,7.34,0.15,K25BL,172.87172,62.30602,7.23568,3.06763,0.1747142,0.22937647,2.6430384,0,MPO950947,3776.0,94,1855,-,2025,0.78,M-v,3Ek,MPCLINUX,0000,(37) Fides,2025-09-07,Type 0,False
00038,8.49,0.15,K25BL,165.76116,169.78348,295.49341,6.95165,0.1509283,0.21700313,2.7425763,0,MPO950947,4622.0,67,1856,-,2025,0.76,M-v,3Ek,MPCORBFIT,0000,(38) Leda,2025-10-06,Type 0,False
00039,5.97,0.15,K25BL,93.69776,210.27868,156.84322,10.37524,0.1130636,0.21367445,2.7709859,0,E2025-V34,11775.0,93,1856,-,2025,0.5,M-v,3Ek,MPCORBFIT,0000,(39) Laetitia,2025-10-20,Type 0,False
00040,6.56,0.15,K25BL,80.29464,269.84324,94.15655,4.25575,0.0462893,0.28859085,2.2678501,0,E2025-V38,10300.0,80,1860,-,2025,0.55,M-v,3Ek,MPCORBFIT,0000,(40) Harmonia,2025-11-04,Type 0,False
00041,7.58,0.15,K25BL,288.43727,46.91596,177.61962,15.72829,0.270442,0.213944,2.768658,0,E2025-V50,7113.0,70,1866,-,2025,0.61,M-v,3Ek,MPCORBFIT,0000,(41) Daphne,2025-11-08,Type 0,False
00042,7.7,0.15,K25BL,103.03901,237.41146,84.16707,8.51002,0.2219265,0.25799285,2.4437922,0,E2025-V38,8134.0,81,1856,-,2025,0.52,M-v,3Ek,MPCORBFIT,0000,(42) Isis,2025-11-04,Type 0,False
00043,7.94,0.15,K25BL,141.45122,16.18526,264.74735,3.47056,0.1681473,0.30132902,2.2034781,0,MPO950947,3510.0,81,1864,-,2025,0.78,M-v,3Ek,MPCLINUX,0000,(43) Ariadne,2025-10-01,Type 0,False
00044,6.75,0.15,K25BL,349.10621,343.99369,131.47702,3.71255,0.1498777,0.26128994,2.4231907,0,MPO950947,8100.0,86,1864,-,2025,0.49,M-v,3Ek,MPCORBFIT,0000,(44) Nysa,2025-10-05,Type 0,False
00045,7.76,0.15,K25BL,206.55227,87.29355,147.55501,6.60564,0.0821724,0.21951887,2.7215823,0,E2025-V65,12089.0,79,1866,-,2025,0.49,M-v,3Ek,MPCORBFIT,0000,(45) Eugenia,2025-11-04,Type 0,False
00046,8.51,0.15,K25BL,299.75219,177.04962,181.05933,2.35132,0.1719293,0.24551898,2.5258797,0,MPO950947,5572.0,81,1864,-,2025,0.75,M-v,3Ek,MPCORBFIT,0000,(46) Hestia,2025-10-04,Type 0,False
00047,8.16,0.15,K25BL,174.33218,316.20622,2.69449,4.96978,0.1333141,0.20153838,2.881139,0,E2025-V65,5583.0,78,1860,-,2025,0.74,M-v,3Ek,MPCORBFIT,0000,(47) Aglaja,2025-11-09,Type 0,False
00048,7.12,0.15,K25BL,141.74525,251.35542,183.42798,6.55777,0.0662636,0.17945784,3.1128708,0,MPO937415,4323.0,95,1860,-,2025,0.77,M-v,3Ek,MPCORBFIT,0000,(48) Doris,2025-08-07,Type 0,False
00049,7.99,0.15,K25BL,312.95967,113.45244,284.98696,3.20165,0.2214743,0.18074605,3.0980625,0,E2025-V34,9046.0,85,1863,-,2025,0.57,M-v,3Ek,MPCORBFIT,0000,(49) Pales,2025-11-03,Type 0,False
00050,9.43,0.15,K25BL,346.61847,200.08211,173.44805,2.83914,0.2845556,0.22832852,2.6511193,0,E2025-V57,8013.0,72,1857,-,2025,0.58,M-v,3Ek,MPCORBFIT,0000,(50) Virginia,2025-11-08,Type 0,False
00051,7.73,0.15,K25BL,26.54936,2.28194,175.87969,9.97295,0.0659272,0.27089841,2.3655479,0,MPO950947,11368.0,92,1863,-,2025,0.56,M-v,3Ek,MPCLINUX,0000,(51) Nemausa,2025-06-14,Type 0,False
00052,6.65,0.15,K25BL,312.52763,342.95841,128.57908,7.48092,0.1120016,0.18126089,3.0921934,0,E2025-UR3,10816.0,91,1860,-,2025,0.46,M-v,3Ek,MPCORBFIT,0000,(52) Europa,2025-10-28,Type 0,False
00053,8.89,0.15,K25BL,261.11414,314.39066,143.43434,5.18194,0.2029884,0.23259785,2.6185784,0,E2025-V57,6543.0,76,1866,-,2025,0.64,M-v,3Ek,MPCORBFIT,0000,(53) Kalypso,2025-11-08,Type 0,False
00054,7.95,0.15,K25BL,186.82265,346.19149,313.01276,11.83053,0.1983043,0.22061306,2.7125759,0,E2025-V65,9799.0,65,1863,-,2025,0.52,M-v,3Ek,MPCORBFIT,0000,(54) Alexandra,2025-11-09,Type 0,False
00055,7.84,0.15,K25BL,157.53435,4.93255,10.28385,7.17648,0.1450626,0.21520292,2.7578498,0,MPO925791,5503.0,71,1863,-,2025,0.71,M-v,3Ek,MPCLINUX,0000,(55) Pandora,2025-06-18,Type 0,False
00056,8.53,0.15,K25BL,92.04587,104.91602,192.93181,8.08103,0.2368787,0.23551146,2.5969366,0,E2025-V65,5501.0,71,1865,-,2025,0.68,M-v,3Ek,MPCORBFIT,0000,(56) Melete,2025-11-02,Type 0,False
00057,6.94,0.15,K25BL,205.17127,210.98859,198.89334,15.23097,0.1080406,0.17580927,3.1557907,0,MPO950947,4205.0,96,1859,-,2025,0.75,M-v,3Ek,MPCLINUX,0000,(57) Mnemosyne,2025-09-16,Type 0,False
00058,9.02,0.15,K25BL,108.49863,33.8621,161.0475,5.07216,0.0456968,0.22217516,2.6998464,0,E2025-V65,6980.0,77,1864,-,2025,0.66,M-v,3Ek,MPCORBFIT,0000,(58) Concordia,2025-11-09,Type 0,False
00059,8.09,0.15,K25BL,328.28847,211.14204,169.90896,8.64828,0.1166274,0.22048119,2.7136575,0,E2025-V65,6640.0,81,1865,-,2025,0.61,M-v,3Ek,MPCORBFIT,0000,(59) Elpis,2025-11-08,Type 0,False
00060,8.64,0.15,K25BL,128.08914,270.85837,191.52297,3.6002,0.1844562,0.26630203,2.3926898,0,MPO937415,7121.0,75,1861,-,2025,0.59,M-v,3Ek,MPCORBFIT,0000,(60) Echo,2025-08-09,Type 0,False
00061,7.74,0.15,K25BL,10.40468,12.88873,333.54323,18.2059,0.1637877,0.19112976,2.9848133,0,E2025-V34,8227.0,74,1865,-,2025,0.51,M-v,3Ek,MPCORBFIT,0000,(61) Danae,2025-10-27,Type 0,False
00062,8.9,0.15,K25BL,305.54951,277.75998,125.10194,2.23695,0.1679735,0.17802442,3.1295579,0,E2025-V38,10268.0,79,1906,-,2025,0.55,M-v,3Ek,MPCORBFIT,0000,(62) Erato,2025-11-05,Type 0,False
00063,7.13,0.15,K25BL,58.1081,295.6215,337.68318,5.77335,0.1281571,0.26598691,2.3945792,0,E2025-V34,6628.0,79,1861,-,2025,0.54,M-v,3Ek,MPCORBFIT,0000,(63) Ausonia,2025-10-22,Type 0,False
00064,7.72,0.15,K25BL,214.91144,181.06698,308.95613,1.30582,0.12655,0.22453146,2.6809245,0,E2025-V57,5625.0,80,1861,-,2025,0.67,M-v,3Ek,MPCORBFIT,0000,(64) Angelina,2025-11-08,Type 0,False
00065,6.83,0.15,K25BL,272.63269,104.13943,155.09879,3.56495,0.1277298,0.15668171,3.4076673,0,E2025-V34,5538.0,98,1861,-,2025,0.7,M-v,3Ek,MPCORBFIT,0000,(65) Cybele,2025-11-03,Type 0,False
00066,9.48,0.15,K25BL,209.25291,43.46594,7.47739,3.0432,0.1720756,0.22889123,2.6467725,0,MPO950948,5332.0,69,1861,-,2025,0.69,M-v,3Ek,MPCLINUX,0000,(66) Maja,2025-09-22,Type 0,False
00067,8.38,0.15,K25BL,185.51063,107.59208,202.25011,6.02442,0.1857143,0.26144832,2.4222119,0,E2025-V38,9476.0,68,1864,-,2025,0.52,M-v,3Ek,MPCORBFIT,0000,(67) Asia,2025-11-04,Type 0,False
00068,6.9,0.15,K25BL,50.65926,304.89421,44.04868,7.96052,0.1843409,0.21231959,2.7827616,0,E2025-UR3,14628.0,91,1861,-,2025,0.38,M-v,3Ek,MPCORBFIT,0000,(68) Leto,2025-10-28,Type 0,False
00069,7.21,0.15,K25BL,42.79758,288.15032,184.89404,8.58563,0.168953,0.19187717,2.9770572,0,MPO950948,4201.0,82,1861,-,2025,0.73,M-v,3Ek,MPCLINUX,0000,(69) Hesperia,2025-05-15,Type 0,False
00070,8.17,0.15,K25BL,269.566,255.44756,47.63785,11.59683,0.1830438,0.23327312,2.6135226,0,MPO950948,6436.0,68,1861,-,2025,0.62,M-v,3Ek,MPCLINUX,0000,(70) Panopaea,2025-06-21,Type 0,False
00071,7.24,0.15,K25BL,61.17488,267.03466,315.90604,23.2441,0.1770227,0.21557815,2.7546487,0,E2025-V46,4046.0,69,1864,-,2025,0.69,M-v,3Ek,MPCORBFIT,0000,(71) Niobe,2025-11-06,Type 0,False
00072,9.06,0.15,K25BL,340.30242,102.71352,207.93096,5.4178,0.1214011,0.28891174,2.2661705,0,MPO950948,6565.0,67,1865,-,2025,0.64,M-v,3Ek,MPCORBFIT,0000,(72) Feronia,2025-10-06,Type 0,False
00073,9.06,0.15,K25BL,336.11786,56.77244,6.8296,2.36966,0.0422874,0.22669522,2.663838,0,E2025-V65,6686.0,61,1864,-,2025,0.62,M-v,3Ek,MPCORBFIT,0000,(73) Klytia,2025-11-09,Type 0,False
00074,8.92,0.15,K25BL,64.23604,174.99661,197.07419,4.07078,0.2367976,0.21238192,2.7822171,0,E2025-V65,9003.0,69,1864,-,2025,0.58,M-v,3Ek,MPCORBFIT,0000,(74) Galatea,2025-11-09,Type 0,False
00075,9.23,0.15,K25BL,142.41816,339.65161,359.12644,4.99402,0.3053352,0.22553892,2.6729349,0,E2025-V65,10192.0,70,1864,-,2025,0.55,M-v,3Ek,MPCORBFIT,0000,(75) Eurydike,2025-11-09,Type 0,False
00076,8.01,0.15,K25BL,299.46914,252.23875,204.26996,2.12352,0.1676536,0.1566145,3.4086421,0,E2025-V50,6673.0,84,1864,-,2025,0.68,M-v,3Ek,MPCORBFIT,0000,(76) Freia,2025-11-08,Type 0,False
00077,8.59,0.15,K25BL,106.83779,61.12448,1.04869,2.4212,0.1335425,0.22623616,2.6674402,0,MPO950948,4843.0,71,1879,-,2025,0.79,M-v,3Ek,MPCLINUX,0000,(77) Frigga,2025-06-12,Type 0,False
00078,8.3,0.15,K25BL,155.05893,153.28498,333.28676,8.67873,0.2034928,0.23205871,2.6226327,0,MPO950948,4198.0,81,1863,-,2025,0.75,M-v,3Ek,MPCORBFIT,0000,(78) Diana,2025-10-06,Type 0,False
00079,7.78,0.15,K25BL,127.32905,201.39127,206.50117,4.61316,0.191025,0.2579686,2.4439453,0,MPO950948,8540.0,85,1863,-,2025,0.53,M-v,3Ek,MPCLINUX,0000,(79) Eurynome,2025-06-14,Type 0,False
00080,8.05,0.15,K25BL,57.2586,139.69331,218.63849,8.6761,0.1996712,0.2832476,2.296282,0,E2025-V34,3561.0,76,1865,-,2025,0.78,M-v,3Ek,MPCORBFIT,0000,(80) Sappho,2025-10-20,Type 0,False
00081,8.69,0.15,K25BL,118.66687,51.2236,0.89514,7.80119,0.2117711,0.20468569,2.8515286,0,MPO925792,6731.0,61,1864,-,2025,0.61,M-v,3Ek,MPCLINUX,0000,(81) Terpsichore,2025-06-21,Type 0,False
00082,8.26,0.15,K25BL,331.29883,110.71943,25.40943,2.82513,0.2211034,0.21448836,2.7639715,0,E2025-V46,8110.0,81,1864,-,2025,0.59,M-v,3Ek,MPCORBFIT,0000,(82) Alkmene,2025-11-06,Type 0,False
00083,8.73,0.15,K25BL,131.96501,169.89256,27.65749,4.96665,0.0830245,0.2599301,2.4316347,0,E2025-V57,5333.0,70,1865,-,2025,0.67,M-v,3Ek,MPCORBFIT,0000,(83) Beatrix,2025-11-08,Type 0,False
00084,9.32,0.15,K25BL,38.88991,15.09327,327.49507,9.31367,0.2354502,0.2714406,2.3623968,0,MPO950948,4401.0,61,1865,-,2025,0.7,M-v,3Ek,Veres,0000,(84) Klio,2025-09-26,Type 0,False
00085,7.94,0.15,K25BL,48.27419,122.89557,203.04207,11.96082,0.1930854,0.22808158,2.6530325,0,E2025-UO9,7505.0,74,1865,-,2025,0.55,M-v,3Ek,MPCORBFIT,0000,(85) Io,2025-10-27,Type 0,False
00086,8.71,0.15,K25BL,63.96395,308.93453,86.06222,4.82079,0.2176917,0.18004383,3.1061127,0,E2025-V65,4976.0,68,1871,-,2025,0.73,M-v,3Ek,MPCORBFIT,0000,(86) Semele,2025-11-09,Type 0,False
00087,6.93,0.15,K25BL,94.95961,265.82654,73.01149,10.87248,0.0943375,0.15152694,3.4845188,0,E2025-V34,5911.0,79,1885,-,2025,0.7,M-v,3Ek,MPCORBFIT,0000,(87) Sylvia,2025-10-31,Type 0,False
00088,7.25,0.15,K25BL,201.53354,36.9356,276.32467,5.22642,0.1652895,0.21414052,2.7669638,0,E2025-V23,4621.0,82,1866,-,2025,0.77,M-v,3Ek,MPCLINUX,0000,(88) Thisbe,2025-11-02,Type 0,False
00089,6.38,0.15,K25BL,358.38242,45.18604,311.52015,16.12339,0.1837598,0.24192641,2.5508242,0,E2025-UO9,3802.0,71,1866,-,2025,0.67,M-v,3Ek,MPCORBFIT,0000,(89) Julia,2025-10-27,Type 0,False
00090,8.43,0.15,K25BL,209.1021,244.36843,69.89097,2.2054,0.1724465,0.1770299,3.1412679,0,E2025-V34,6657.0,88,1866,-,2025,0.68,M-v,3Ek,MPCORBFIT,0000,(90) Antiope,2025-11-03,Type 0,False
00091,9.12,0.15,K25BL,14.38946,74.3113,10.3872,2.10244,0.1081828,0.23641258,2.5903334,0,E2025-V46,10632.0,78,1866,-,2025,0.52,M-v,3Ek,MPCORBFIT,0000,(91) Aegina,2025-11-06,Type 0,False
00092,6.71,0.15,K25BL,238.16041,236.68467,101.39208,9.92326,0.1048647,0.17335758,3.1854747,0,MPO937416,3584.0,83,1871,-,2025,0.74,M-v,3Ek,MPCLINUX,0000,(92) Undina,2025-07-22,Type 0,False
00093,7.9,0.15,K25BL,273.0991,275.927,3.81358,8.53973,0.1429093,0.21577342,2.7529865,0,MPO950948,4717.0,73,1872,-,2025,0.71,M-v,3Ek,MPCLINUX,0000,(93) Minerva,2025-06-09,Type 0,False
00094,7.71,0.15,K25BL,10.64458,60.52691,2.51806,7.96978,0.0963849,0.17576156,3.1563619,0,E2025-V34,7293.0,75,1872,-,2025,0.61,M-v,3Ek,MPCORBFIT,0000,(94) Aurora,2025-10-22,Type 0,False
00095,7.97,0.15,K25BL,156.26045,152.76644,242.93653,13.00999,0.1526488,0.1837699,3.0639838,0,E2025-UJ7,4774.0,73,1872,-,2025,0.71,M-v,3Ek,MPCORBFIT,0000,(95) Arethusa,2025-07-16,Type 0,False
00096,7.66,0.15,K25BL,189.17168,207.92938,321.47074,15.98458,0.1423002,0.1851414,3.0488334,0,E2025-V50,4933.0,55,1868,-,2025,0.71,M-v,3Ek,MPCORBFIT,0000,(96) Aegle,2025-11-08,Type 0,False
00097,7.79,0.15,K25BL,134.06056,268.43196,159.58602,11.77537,0.2576169,0.22613167,2.6682619,0,MPO937416,4169.0,70,1870,-,2025,0.78,M-v,3Ek,MPCORBFIT,0000,(97) Klotho,2025-08-07,Type 0,False
00098,8.95,0.15,K25BL,303.37744,158.15958,353.87251,15.57591,0.187874,0.22373495,2.6872836,0,E2025-V46,7989.0,55,1870,-,2025,0.53,M-v,3Ek,MPCLINUX,0000,(98) Ianthe,2025-11-05,Type 0,False
00099,9.46,0.15,K25BL,68.65214,195.42784,41.40221,13.86365,0.1977127,0.22677154,2.6632403,0,E2025-V65,4920.0,48,1915,-,2025,0.71,M-v,3Ek,MPCORBFIT,0000,(99) Dike,2025-11-09,Type 0,False
00100,7.75,0.15,K25BL,323.244,183.55245,127.15593,6.43092,0.1679761,0.18141467,3.0904457,0,MPO950948,7989.0,83,1871,-,2025,0.55,M-v,3Ek,MPCLINUX,0000,(100) Hekate,2025-09-16,Type 0,False
00101,8.39,0.15,K25BL,323.65245,347.75682,343.35784,10.19192,0.1405229,0.23732902,2.5836608,0,MPO950948,7147.0,64,1871,-,2025,0.5,M-v,3Ek,MPCORBFIT,0000,(101) Helena,2025-10-06,Type 0,False
00102,9.46,0.15,K25BL,75.16343,147.47875,210.72943,5.17191,0.251265,0.22665683,2.6641388,0,E2025-V65,7255.0,65,1870,-,2025,0.6,M-v,3Ek,MPCORBFIT,0000,(102) Miriam,2025-11-08,Type 0,False
00103,7.74,0.15,K25BL,165.5988,190.39387,135.95133,5.42602,0.0810432,0.22181421,2.7027744,0,E2025-V38,8188.0,82,1871,-,2025,0.54,M-v,3Ek,MPCORBFIT,0000,(103) Hera,2025-11-04,Type 0,False
00104,8.53,0.15,K25BL,342.2679,31.91541,41.64403,2.78972,0.1624941,0.1768607,3.143271,0,E2025-V34,8088.0,80,1885,-,2025,0.58,M-v,3Ek,MPCORBFIT,0000,(104) Klymene,2025-10-27,Type 0,False
00105,8.75,0.15,K25BL,93.49708,56.95628,188.21338,21.45543,0.179029,0.26970897,2.3724977,0,E2025-V38,4468.0,62,1904,-,2025,0.71,M-v,3Ek,MPCLINUX,0007,(105) Artemis,2025-11-03,Phocaea,False
00106,7.76,0.15,K25BL,279.92762,331.74654,61.98311,4.575,0.1588532,0.17360143,3.182491,0,E2025-V65,9405.0,83,1871,-,2025,0.53,M-v,3Ek,MPCORBFIT,0000,(106) Dione,2025-11-09,Type 0,False
00107,7.1,0.15,K25BL,332.54454,303.73826,172.50627,9.99866,0.0664514,0.1509695,3.4930911,0,E2025-V50,5490.0,77,1868,-,2025,0.72,M-v,3Ek,MPCORBFIT,0000,(107) Camilla,2025-11-07,Type 0,False
00108,7.96,0.15,K25BL,13.05753,213.25455,349.72422,4.20941,0.0633316,0.16960571,3.2322807,0,E2025-UJ7,5164.0,83,1880,-,2025,0.74,M-v,3Ek,MPCORBFIT,0000,(108) Hecuba,2025-08-12,Type 0,False
00109,8.98,0.15,K25BL,66.77732,57.58398,2.71574,7.84615,0.3005179,0.22303253,2.6929228,0,MPO950948,4205.0,61,1869,-,2025,0.76,M-v,3Ek,MPCLINUX,0000,(109) Felicitas,2025-04-14,Type 0,False
00110,7.84,0.15,K25BL,11.46473,282.24105,56.76338,5.9594,0.0791,0.21818018,2.7327035,0,E2025-V38,4447.0,74,1870,-,2025,0.7,M-v,3Ek,MPCORBFIT,0000,(110) Lydia,2025-11-05,Type 0,False
00111,8.21,0.15,K25BL,270.67769,168.43574,305.66254,4.93242,0.1034905,0.2360922,2.5926763,0,E2025-V50,7302.0,65,1870,-,2025,0.57,M-v,3Ek,MPCORBFIT,0000,(111) Ate,2025-11-08,Type 0,False
