designation,abs_mag,slope_param,epoch,mean_anomaly,arg_perihelion,long_asc_node,inclination,eccentricity,mean_motion,semi_major_axis,uncertainty,reference,num_observations,num_oppositions,first_obs,separator,last_obs,rms_residual,coarse_perturbers,precise_perturbers,computer,hex_flags,designation_full,last_obs_date,orbit_type,is_neo
00954,10.16,0.15,K25BL,281.16799,150.20992,163.22047,1.17266,0.1736661,0.17810952,3.128561,0,MPO937427,6115.0,56,1905,-,2025,0.68,M-v,3Ek,MPCORBFIT,0000,(954) Li,2025-08-12,Type 0,False
00955,10.86,0.15,K25BL,15.79746,282.34432,351.41824,10.68785,0.2888346,0.23580436,2.5947857,0,MPO950961,8553.0,43,1921,-,2025,0.51,M-v,3Ek,MPCORBFIT,0000,(955) Alstede,2025-10-06,Type 0,False
00956,12.1,0.15,K25BL,342.28289,125.20166,192.61714,5.9644,0.2050697,0.28294685,2.2979089,0,MPO950961,5642.0,38,1921,-,2025,0.64,M-v,3Ek,MPCORBFIT,0000,(956) Elisa,2025-10-06,Type 0,False
00957,9.87,0.15,K25BL,232.17857,226.61608,232.62245,14.76021,0.0820947,0.19750568,2.9202251,0,E2025-V65,5673.0,45,1921,-,2025,0.68,M-v,3Ek,MPCORBFIT,0000,(957) Camelia,2025-11-09,Type 0,False
00958,10.34,0.15,K25BL,42.2322,90.87838,342.59651,5.62177,0.1850569,0.12310762,4.0020216,0,E2025-V65,4472.0,40,1921,-,2025,0.67,M-v,3Ek,MPCORBFIT,0008,(958) Asplinda,2025-11-09,Hilda,False
00959,10.77,0.15,K25BL,75.27195,333.45997,58.44851,4.49404,0.2239588,0.17416447,3.1756283,0,E2025-V65,5793.0,44,1916,-,2025,0.65,M-v,3Ek,MPCORBFIT,0000,(959) Arne,2025-11-09,Type 0,False
00960,12.51,0.15,K25BL,348.55766,87.89963,249.08983,3.0275,0.1653871,0.29235071,2.248364,0,E2025-V38,5146.0,39,1921,-,2025,0.67,M-v,3Ek,MPCORBFIT,0000,(960) Birgit,2025-11-05,Type 0,False
00961,11.56,0.15,K25BL,268.38856,284.82124,26.57129,10.98961,0.0937529,0.2231568,2.691923,0,E2025-UJ7,6741.0,38,1921,-,2025,0.55,M-v,3Ek,MPCORBFIT,0000,(961) Gunnie,2025-07-16,Type 0,False
00962,11.45,0.15,K25BL,22.99063,225.09321,145.42941,2.60521,0.096423,0.19901097,2.905481,0,E2025-V65,7884.0,48,1921,-,2025,0.55,M-v,3Ek,MPCORBFIT,0000,(962) Aslog,2025-11-08,Type 0,False
00963,12.25,0.15,K25BL,291.64025,5.49969,62.4105,7.98436,0.1372909,0.29248401,2.2476808,0,E2025-V57,5373.0,36,1921,-,2025,0.6,M-v,3Ek,MPCORBFIT,0000,(963) Iduberga,2025-11-08,Type 0,False
00964,10.81,0.15,K25BL,180.70278,8.16321,30.60687,9.05375,0.1179569,0.18499406,3.050452,0,MPO937427,6059.0,38,1905,-,2025,0.58,M-v,3Ek,MPCORBFIT,0000,(964) Subamara,2025-08-13,Type 0,False
00965,10.19,0.15,K25BL,153.06097,47.21319,41.0682,21.42331,0.2766016,0.17510213,3.1642814,0,MPO950961,4501.0,37,1927,-,2025,0.64,M-v,3Ek,MPCLINUX,0000,(965) Angelica,2025-09-22,Type 0,False
00966,9.96,0.15,K25BL,241.9527,179.36934,72.35326,14.39581,0.1283618,0.21948306,2.7218784,0,E2025-V65,6780.0,50,1924,-,2025,0.6,M-v,3Ek,MPCORBFIT,0000,(966) Muschi,2025-11-09,Type 0,False
00967,12.21,0.15,K25BL,207.82862,232.16056,82.31992,5.41126,0.1690936,0.2969224,2.2252258,0,E2025-UR3,11560.0,38,1924,-,2025,0.42,M-v,3Ek,MPCORBFIT,0000,(967) Helionape,2025-10-28,Type 0,False
00968,10.14,0.15,K25BL,61.0517,298.02711,208.73991,11.6033,0.1313364,0.2028183,2.8690049,0,E2025-UJ7,5772.0,49,1921,-,2025,0.64,M-v,3Ek,MPCORBFIT,0000,(968) Petunia,2025-08-13,Type 0,False
00969,12.77,0.15,K25BL,349.62401,91.34182,287.68647,2.29066,0.2051785,0.25503735,2.4626358,0,E2025-V65,5039.0,38,1921,-,2025,0.63,M-v,3Ek,MPCORBFIT,0000,(969) Leocadia,2025-11-10,Type 0,False
00970,12.27,0.15,K25BL,139.13147,95.5003,310.71592,5.03447,0.2725405,0.24085423,2.5583887,0,MPO925804,4527.0,40,1921,-,2025,0.67,M-v,3Ek,MPCLINUX,0000,(970) Primula,2025-07-12,Type 0,False
00971,10.08,0.15,K25BL,55.99576,6.03293,83.47155,13.79482,0.1635511,0.22986583,2.6392859,0,E2025-V57,4745.0,43,1908,-,2025,0.69,M-v,3Ek,MPCORBFIT,0000,(971) Alsatia,2025-11-08,Type 0,False
00972,9.67,0.15,K25BL,202.13909,93.2499,281.42128,8.36913,0.2348915,0.18442021,3.0567766,0,MPO937427,6953.0,47,1906,-,2025,0.56,M-v,3Ek,MPCLINUX,0000,(972) Cohnia,2025-08-02,Type 0,False
00973,10.21,0.15,K25BL,47.68492,86.57341,348.28236,15.82907,0.1137118,0.17121595,3.211983,0,E2025-V65,8330.0,53,1922,-,2025,0.48,M-v,3Ek,MPCORBFIT,0000,(973) Aralia,2025-11-09,Type 0,False
00974,10.66,0.15,K25BL,16.24979,302.54411,86.6287,5.45319,0.1095945,0.2444104,2.5335118,0,E2025-V65,9565.0,55,1906,-,2025,0.49,M-v,3Ek,MPCORBFIT,0000,(974) Lioba,2025-11-09,Type 0,False
00975,10.6,0.15,K25BL,346.62347,57.79834,38.64707,2.55399,0.0351435,0.20653775,2.8344562,0,E2025-V38,10875.0,54,1922,-,2025,0.47,M-v,3Ek,MPCORBFIT,0000,(975) Perseverantia,2025-11-04,Type 0,False
00976,9.43,0.15,K25BL,26.90745,321.7576,242.99555,7.72674,0.1103243,0.17280448,3.1922683,0,MPO937427,7629.0,55,1910,-,2025,0.6,M-v,3Ek,MPCORBFIT,0000,(976) Benjamina,2025-08-14,Type 0,False
00977,9.89,0.15,K25BL,359.89472,65.94644,75.64777,15.17645,0.0209766,0.1789154,3.1191594,0,E2025-V65,6052.0,46,1914,-,2025,0.58,M-v,3Ek,MPCORBFIT,0000,(977) Philippa,2025-11-09,Type 0,False
00978,9.64,0.15,K25BL,309.84486,132.69833,216.51404,21.60073,0.2301583,0.17165124,3.2065505,0,MPO950961,7484.0,40,1906,-,2025,0.58,M-v,3Ek,MPCORBFIT,0000,(978) Aidamina,2025-10-03,Type 0,False
00979,9.83,0.15,K25BL,113.52237,116.64235,230.45297,10.08906,0.1410726,0.17532774,3.1615663,0,E2025-V65,7745.0,47,1922,-,2025,0.54,M-v,3Ek,MPCORBFIT,0000,(979) Ilsewa,2025-11-08,Type 0,False
00980,7.89,0.15,K25BL,336.69843,69.76016,285.76193,15.89626,0.2015784,0.21715043,2.7413359,0,E2025-V65,3843.0,51,1929,-,2025,0.69,M-v,3Ek,MPCORBFIT,0000,(980) Anacostia,2025-11-09,Type 0,False
00981,11.1,0.15,K25BL,311.15899,297.88962,46.00077,2.06192,0.2007785,0.18063655,3.0993144,0,MPO950961,9116.0,47,1906,-,2025,0.52,M-v,3Ek,MPCORBFIT,0000,(981) Martina,2025-10-06,Type 0,False
00982,10.05,0.15,K25BL,42.30749,350.73647,299.1352,13.64784,0.2328476,0.18331331,3.0690694,0,E2025-V65,7500.0,43,1928,-,2025,0.55,M-v,3Ek,MPCORBFIT,0000,(982) Franklina,2025-11-08,Type 0,False
00983,9.54,0.15,K25BL,200.35793,348.3862,250.66623,14.86291,0.0890641,0.17524186,3.1625992,0,E2025-V38,9283.0,49,1922,-,2025,0.5,M-v,3Ek,MPCORBFIT,0000,(983) Gunila,2025-11-04,Type 0,False
00984,9.56,0.15,K25BL,335.12472,55.30895,314.12727,9.09361,0.1948138,0.20978038,2.8051719,0,E2025-V46,7855.0,51,1915,-,2025,0.54,M-v,3Ek,MPCORBFIT,0000,(984) Gretia,2025-11-06,Type 0,False
00985,12.79,0.15,K25BL,220.77616,59.5988,290.23548,4.05914,0.2776521,0.28273931,2.2990332,0,E2025-V46,5121.0,29,1922,-,2025,0.61,M-v,3Ek,MPCLINUX,0005,(985) Rosina,2025-06-25,q < 1.665 AU,False
00986,9.37,0.15,K25BL,207.14777,264.92581,92.50179,14.81663,0.2029466,0.17784415,3.1316725,0,MPO937428,5933.0,42,1926,-,2025,0.59,M-v,3Ek,MPCLINUX,0000,(986) Amelia,2025-07-18,Type 0,False
00987,9.64,0.15,K25BL,205.59387,15.71178,322.53518,8.91028,0.237971,0.17759305,3.1346236,0,E2025-UJ7,7237.0,50,1922,-,2025,0.54,M-v,3Ek,MPCORBFIT,0000,(987) Wallia,2025-06-25,Type 0,False
00988,11.62,0.15,K25BL,155.87214,336.55354,41.68951,1.5733,0.2372199,0.1772312,3.1388887,0,E2025-UJ7,5471.0,37,1939,-,2025,0.66,M-v,3Ek,MPCORBFIT,0000,(988) Appella,2025-06-25,Type 0,False
00989,11.81,0.15,K25BL,269.0997,165.68307,243.29746,14.68938,0.249336,0.22698225,2.6615918,0,E2025-V34,4908.0,35,1922,-,2025,0.6,M-v,3Ek,MPCORBFIT,0000,(989) Schwassmannia,2025-11-03,Type 0,False
00990,11.94,0.15,K25BL,266.03366,9.28548,353.92719,8.78304,0.2172447,0.22607298,2.6687237,0,MPO950962,7781.0,43,1913,-,2025,0.55,M-v,3Ek,MPCLINUX,0000,(990) Yerkes,2025-09-10,Type 0,False
00991,11.18,0.15,K25BL,234.76703,253.51705,63.18027,2.0693,0.1624814,0.17751803,3.1355067,0,MPO925804,5451.0,45,1936,-,2025,0.69,M-v,3Ek,MPCLINUX,0000,(991) McDonalda,2025-06-18,Type 0,False
00992,10.52,0.15,K25BL,45.87456,348.811,211.86114,10.89055,0.0904877,0.18736034,3.0247137,0,E2025-UJ7,5882.0,45,1922,-,2025,0.65,M-v,3Ek,MPCORBFIT,0000,(992) Swasey,2025-09-09,Type 0,False
00993,11.43,0.15,K25BL,127.25658,244.69281,184.20599,1.782,0.047023,0.20373258,2.8604151,0,MPO925804,5608.0,46,1931,-,2025,0.64,M-v,3Ek,MPCLINUX,0000,(993) Moultona,2025-07-06,Type 0,False
00994,10.2,0.15,K25BL,24.54764,342.13277,2.29777,15.41572,0.1151803,0.24499904,2.5294521,0,E2025-V50,7233.0,41,1931,-,2025,0.56,M-v,3Ek,MPCORBFIT,0000,(994) Otthild,2025-11-08,Type 0,False
